"Fx0"	"z"	"Lx0"
4.19532883291306e-13	0.045	1.99737842440866e+42
4.19532883291306e-13	0.045	1.99737842440866e+42
4.19532883291306e-13	0.045	1.99737842440866e+42
4.19532883291306e-13	0.045	1.99737842440866e+42
4.19532883291306e-13	0.045	1.99737842440866e+42
4.19532883291306e-13	0.045	1.99737842440866e+42
4.60008659094001e-13	0.045	2.19008189181092e+42
5.04389464733635e-13	0.045	2.40137704213869e+42
5.04389464733635e-13	0.045	2.40137704213869e+42
5.53052050444762e-13	0.045	2.63305756742389e+42
5.53052050444762e-13	0.045	2.63305756742389e+42
5.53052050444762e-13	0.045	2.63305756742389e+42
6.06409514644963e-13	0.045	2.88709021187011e+42
6.06409514644963e-13	0.045	2.88709021187011e+42
6.64914810741973e-13	0.045	3.16563146761398e+42
6.64914810741973e-13	0.045	3.16563146761398e+42
7.29064592271245e-13	0.045	3.47104588126348e+42
7.99403429005441e-13	0.045	3.80592612661801e+42
7.99403429005441e-13	0.045	3.80592612661801e+42
8.76528429826563e-13	0.045	4.17311501396834e+42
8.76528429826563e-13	0.045	4.17311501396834e+42
9.61094311604448e-13	0.045	4.57572962281404e+42
9.61094311604448e-13	0.045	4.57572962281404e+42
1.05381895711152e-12	0.045	5.01718776286208e+42
1.05381895711152e-12	0.045	5.01718776286208e+42
1.15548950915513e-12	0.045	5.50123698793467e+42
1.26696905266079e-12	0.045	6.03198640908677e+42
1.26696905266079e-12	0.045	6.03198640908677e+42
1.8313274570202e-12	0.045	8.71887305229292e+42
1.8313274570202e-12	0.045	8.71887305229292e+42
2.64707353963599e-12	0.045	1.26026058658691e+43
2.90245841979845e-12	0.045	1.38184825465118e+43
3.18248237252123e-12	0.045	1.51516648160354e+43
3.82618537027911e-12	0.045	1.82163077335634e+43
3.82618537027911e-12	0.045	1.82163077335634e+43
4.19532883291308e-12	0.045	1.99737842440867e+43
4.60008659094003e-12	0.045	2.19008189181093e+43
5.04389464733637e-12	0.045	2.4013770421387e+43
5.5305205044476e-11	0.045	2.63305756742388e+44
6.95359110620649e-14	0.055	5.01718776286205e+41
6.95359110620649e-14	0.055	5.01718776286205e+41
6.95359110620649e-14	0.055	5.01718776286205e+41
6.95359110620649e-14	0.055	5.01718776286205e+41
6.95359110620649e-14	0.055	5.01718776286205e+41
6.95359110620649e-14	0.055	5.01718776286205e+41
7.62446103285064e-14	0.055	5.50123698793468e+41
7.62446103285064e-14	0.055	5.50123698793468e+41
7.62446103285064e-14	0.055	5.50123698793468e+41
7.62446103285064e-14	0.055	5.50123698793468e+41
7.62446103285064e-14	0.055	5.50123698793468e+41
7.62446103285064e-14	0.055	5.50123698793468e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
8.36005527986412e-14	0.055	6.03198640908683e+41
9.16661833292272e-14	0.055	6.61394157699573e+41
9.16661833292272e-14	0.055	6.61394157699573e+41
9.16661833292272e-14	0.055	6.61394157699573e+41
9.16661833292272e-14	0.055	6.61394157699573e+41
9.16661833292272e-14	0.055	6.61394157699573e+41
9.16661833292272e-14	0.055	6.61394157699573e+41
9.16661833292272e-14	0.055	6.61394157699573e+41
9.16661833292272e-14	0.055	6.61394157699573e+41
9.16661833292272e-14	0.055	6.61394157699573e+41
9.16661833292272e-14	0.055	6.61394157699573e+41
1.00509971344162e-13	0.055	7.25204272974069e+41
1.00509971344162e-13	0.055	7.25204272974069e+41
1.00509971344162e-13	0.055	7.25204272974069e+41
1.00509971344162e-13	0.055	7.25204272974069e+41
1.00509971344162e-13	0.055	7.25204272974069e+41
1.00509971344162e-13	0.055	7.25204272974069e+41
1.00509971344162e-13	0.055	7.25204272974069e+41
1.00509971344162e-13	0.055	7.25204272974069e+41
1.00509971344162e-13	0.055	7.25204272974069e+41
1.10206992073849e-13	0.055	7.95170673065937e+41
1.10206992073849e-13	0.055	7.95170673065937e+41
1.10206992073849e-13	0.055	7.95170673065937e+41
1.20839563871501e-13	0.055	8.718873052293e+41
1.20839563871501e-13	0.055	8.718873052293e+41
1.20839563871501e-13	0.055	8.718873052293e+41
1.20839563871501e-13	0.055	8.718873052293e+41
